time_key,port_key,op_id,berth_occupancy_rate,crane_efficiency,customs_time_hours,cargo_category,truck_queue_length
2024010100,1,1,32.11,21,13.75,Container,76
2024010100,2,2,42.64,8,13.67,Bulk,60
2024010100,3,3,91.32,7,8.74,Bulk,24
2024010100,4,4,56.78,5,8.16,Bulk,14
2024010100,5,5,56.38,20,13.75,Container,51
2024010100,6,6,65.57,14,17.02,Oil,57
2024010101,1,7,63.24,10,14.45,Bulk,85
2024010101,2,8,67.88,10,12.62,Oil,65
2024010101,3,9,62.39,11,20.34,Oil,56
2024010101,4,10,49.19,10,10.98,Bulk,21
2024010101,5,11,34.8,18,12.98,Container,65
2024010101,6,12,70.9,6,21.35,Bulk,53
2024010102,1,13,43.15,8,7.09,Container,45
2024010102,2,14,69.15,17,13.3,Container,8
2024010102,3,15,74.14,19,20.75,Oil,35
2024010102,4,16,53.86,14,20.34,Container,82
2024010102,5,17,68.33,21,3.47,Oil,64
2024010102,6,18,41.87,10,13.25,Bulk,44
2024010103,1,19,40.0,16,10.98,Oil,1
2024010103,2,20,38.57,22,1.31,Oil,9
2024010103,3,21,32.63,12,17.87,Container,80
2024010103,4,22,68.86,21,12.27,Container,86
2024010103,5,23,44.24,22,5.54,Bulk,30
2024010103,6,24,34.46,18,15.13,Oil,75
2024010104,1,25,75.47,18,1.47,Container,57
2024010104,2,26,39.44,12,23.21,Container,49
2024010104,3,27,69.21,23,13.46,Container,56
2024010104,4,28,66.05,8,7.99,Oil,17
2024010104,5,29,78.85,23,23.64,Container,88
2024010104,6,30,81.04,16,16.08,Container,92
2024010105,1,31,58.03,23,15.88,Oil,29
2024010105,2,32,64.63,7,13.46,Container,77
2024010105,3,33,50.93,15,14.91,Container,34
2024010105,4,34,32.45,13,20.7,Oil,87
2024010105,5,35,30.73,19,23.46,Oil,74
2024010105,6,36,81.9,23,11.79,Bulk,76
2024010106,1,37,38.68,7,23.49,Oil,25
2024010106,2,38,70.76,13,5.68,Container,97
2024010106,3,39,50.6,14,9.91,Container,74
2024010106,4,40,67.6,7,20.21,Oil,52
2024010106,5,41,38.28,15,20.2,Oil,67
2024010106,6,42,66.04,20,3.59,Oil,42
2024010107,1,43,31.88,21,8.7,Bulk,48
2024010107,2,44,67.56,9,12.52,Bulk,98
2024010107,3,45,51.71,10,13.45,Oil,97
2024010107,4,46,46.81,18,8.92,Container,87
2024010107,5,47,70.25,16,17.03,Container,12
2024010107,6,48,78.9,16,3.24,Bulk,11
2024010108,1,49,74.53,8,14.84,Oil,96
2024010108,2,50,88.59,24,16.8,Oil,92
2024010108,3,51,33.86,10,6.05,Container,8
2024010108,4,52,53.05,22,1.44,Oil,58
2024010108,5,53,91.41,21,10.28,Container,14
2024010108,6,54,64.91,8,11.86,Container,72
2024010109,1,55,94.76,22,22.83,Bulk,28
2024010109,2,56,82.77,9,20.06,Bulk,51
2024010109,3,57,50.8,15,4.31,Container,77
2024010109,4,58,70.25,11,22.02,Oil,10
2024010109,5,59,34.42,11,5.89,Container,29
2024010109,6,60,49.92,19,20.62,Bulk,12
2024010110,1,61,87.94,8,5.4,Container,0
2024010110,2,62,83.31,13,11.67,Container,56
2024010110,3,63,91.92,19,11.61,Container,68
2024010110,4,64,76.15,12,16.19,Bulk,52
2024010110,5,65,88.13,9,10.74,Bulk,52
2024010110,6,66,52.63,22,9.79,Container,33
2024010111,1,67,39.12,14,1.24,Oil,32
2024010111,2,68,74.68,16,11.08,Bulk,89
2024010111,3,69,62.98,9,23.17,Oil,84
2024010111,4,70,84.3,21,7.23,Oil,59
2024010111,5,71,55.41,17,10.2,Oil,75
2024010111,6,72,77.53,16,4.41,Container,96
2024010112,1,73,94.32,24,2.34,Oil,41
2024010112,2,74,32.36,13,2.46,Oil,72
2024010112,3,75,84.08,13,17.15,Bulk,97
2024010112,4,76,81.13,11,3.73,Oil,94
2024010112,5,77,42.26,10,19.8,Oil,63
2024010112,6,78,46.0,17,13.32,Bulk,27
2024010113,1,79,94.9,23,23.08,Oil,77
2024010113,2,80,69.56,6,3.37,Oil,38
2024010113,3,81,34.09,12,1.79,Container,90
2024010113,4,82,30.35,16,21.06,Bulk,93
2024010113,5,83,88.55,7,21.35,Container,26
2024010113,6,84,49.0,20,21.02,Container,48
2024010114,1,85,61.82,19,10.01,Bulk,47
2024010114,2,86,49.75,10,11.44,Bulk,21
2024010114,3,87,60.27,7,23.93,Container,57
2024010114,4,88,65.63,24,19.26,Oil,23
2024010114,5,89,79.58,21,14.05,Oil,51
2024010114,6,90,54.34,21,11.88,Oil,9
2024010115,1,91,73.37,19,15.29,Bulk,1
2024010115,2,92,42.78,19,14.8,Container,93
2024010115,3,93,44.64,18,20.37,Oil,12
2024010115,4,94,78.71,11,5.31,Bulk,5
2024010115,5,95,94.83,5,9.15,Bulk,26
2024010115,6,96,49.97,21,8.57,Oil,88
2024010116,1,97,46.12,21,23.63,Container,81
2024010116,2,98,70.54,24,20.12,Bulk,27
2024010116,3,99,70.75,6,19.76,Bulk,98
2024010116,4,100,87.48,11,9.58,Bulk,29
2024010116,5,101,45.64,24,12.94,Container,19
2024010116,6,102,77.21,17,19.94,Container,33
2024010117,1,103,53.28,7,15.83,Bulk,11
2024010117,2,104,65.26,12,23.04,Bulk,57
2024010117,3,105,53.35,8,2.81,Oil,95
2024010117,4,106,76.47,12,7.35,Container,49
2024010117,5,107,75.08,23,1.04,Bulk,50
2024010117,6,108,76.2,21,4.44,Oil,33
2024010118,1,109,42.96,20,6.61,Oil,84
2024010118,2,110,51.55,18,18.34,Oil,88
2024010118,3,111,85.53,21,12.32,Container,71
2024010118,4,112,47.7,12,14.78,Oil,27
2024010118,5,113,73.41,11,1.46,Oil,76
2024010118,6,114,69.08,19,2.06,Bulk,49
2024010119,1,115,71.8,17,11.79,Oil,22
2024010119,2,116,94.03,5,6.48,Oil,25
2024010119,3,117,68.55,7,9.13,Bulk,26
