cost_id,movement_id,route_id,vessel_key,time_key,daily_demurrage_cost,fuel_cost_per_km,perishability_loss_rate,alternative_port_cost
COST_MOV_00001,MOV_00001,R_291,66,2024081313,38131.13,32.11,0.0036,5519.5
COST_MOV_00002,MOV_00002,R_829,61,2024111816,23728.23,21.83,0.0042,17094.33
COST_MOV_00003,MOV_00003,R_109,60,2024101603,34599.12,20.17,0.0031,14419.73
COST_MOV_00004,MOV_00004,R_949,94,2024021109,41521.62,24.34,0.0015,16303.08
COST_MOV_00005,MOV_00005,R_380,55,2024110206,34413.98,31.68,0.0046,6010.47
COST_MOV_00006,MOV_00006,R_831,84,2024030720,16599.17,21.05,0.0005,17897.7
COST_MOV_00007,MOV_00007,R_514,53,2024061008,49661.14,38.47,0.0022,12370.44
COST_MOV_00008,MOV_00008,R_478,50,2024091517,11279.67,23.92,0.0029,12176.04
COST_MOV_00009,MOV_00009,R_318,25,2024112805,52649.59,17.19,0.003,13393.58
COST_MOV_00010,MOV_00010,R_230,7,2024080202,37161.11,25.77,0.0046,9630.49
COST_MOV_00011,MOV_00011,R_425,24,2024121216,12080.5,29.6,0.0006,10644.31
COST_MOV_00012,MOV_00012,R_772,77,2024061701,16955.19,26.02,0.0023,6661.47
COST_MOV_00013,MOV_00013,R_996,27,2024080323,23943.39,34.2,0.0026,6044.24
COST_MOV_00014,MOV_00014,R_482,41,2024072319,43370.0,37.02,0.0031,9640.98
COST_MOV_00015,MOV_00015,R_269,69,2024030906,46605.29,18.58,0.0036,8677.41
COST_MOV_00016,MOV_00016,R_549,37,2024061518,20283.02,17.0,0.0034,5867.48
COST_MOV_00017,MOV_00017,R_266,86,2024122702,14905.06,33.82,0.0018,16772.62
COST_MOV_00018,MOV_00018,R_820,15,2024040116,59733.76,39.02,0.0004,13513.41
COST_MOV_00019,MOV_00019,R_211,44,2024052318,45491.02,40.15,0.0028,8919.23
COST_MOV_00020,MOV_00020,R_173,82,2024020416,34036.91,29.75,0.0011,11910.72
COST_MOV_00021,MOV_00021,R_431,95,2024062719,54641.18,28.17,0.0029,10816.68
COST_MOV_00022,MOV_00022,R_963,5,2024041118,12936.89,22.6,0.0006,11575.68
COST_MOV_00023,MOV_00023,R_998,6,2024072910,31208.36,23.4,0.0018,7216.18
COST_MOV_00024,MOV_00024,R_666,96,2024100410,40336.53,24.49,0.0025,8583.15
COST_MOV_00025,MOV_00025,R_493,4,2024043020,40444.86,32.84,0.0038,10487.03
COST_MOV_00026,MOV_00026,R_447,21,2024061809,18053.99,37.42,0.0047,8680.4
COST_MOV_00027,MOV_00027,R_939,59,2024053120,52632.59,31.57,0.0008,16595.29
COST_MOV_00028,MOV_00028,R_120,43,2024051120,51489.37,17.49,0.0042,14396.58
COST_MOV_00029,MOV_00029,R_736,87,2024121318,22705.96,33.26,0.0021,19084.72
COST_MOV_00030,MOV_00030,R_881,75,2024062707,30436.04,29.2,0.0044,19188.15
COST_MOV_00031,MOV_00031,R_206,78,2024080203,52479.71,30.59,0.0022,6332.32
COST_MOV_00032,MOV_00032,R_380,56,2024013107,58804.94,18.11,0.0007,14325.97
COST_MOV_00033,MOV_00033,R_429,56,2024051412,55548.97,21.56,0.0021,11690.71
COST_MOV_00034,MOV_00034,R_501,39,2024032601,24063.38,16.07,0.0021,5973.72
COST_MOV_00035,MOV_00035,R_111,54,2024032721,41875.46,16.54,0.0007,13531.59
COST_MOV_00036,MOV_00036,R_840,71,2024072410,49037.92,32.59,0.0026,5837.15
COST_MOV_00037,MOV_00037,R_786,57,2024080723,56189.31,41.42,0.0048,9318.26
COST_MOV_00038,MOV_00038,R_826,11,2024042520,31218.48,20.23,0.0043,16112.05
COST_MOV_00039,MOV_00039,R_766,40,2024060908,59164.52,40.39,0.0033,19410.42
COST_MOV_00040,MOV_00040,R_509,99,2024112008,21535.49,43.21,0.0011,14249.41
COST_MOV_00041,MOV_00041,R_434,52,2024091903,47677.24,17.97,0.0006,5506.96
COST_MOV_00042,MOV_00042,R_852,29,2024031318,32483.74,17.08,0.0043,9773.06
COST_MOV_00043,MOV_00043,R_845,59,2024061902,37620.66,44.72,0.0024,7862.42
COST_MOV_00044,MOV_00044,R_165,79,2024080414,53308.97,19.49,0.0047,10415.83
COST_MOV_00045,MOV_00045,R_434,96,2024103109,58851.59,24.45,0.0032,15747.34
COST_MOV_00046,MOV_00046,R_944,63,2024070807,31447.02,26.72,0.001,13923.72
COST_MOV_00047,MOV_00047,R_738,41,2024070411,49905.81,21.32,0.0037,19241.67
COST_MOV_00048,MOV_00048,R_149,28,2024041407,56509.87,42.06,0.0033,10644.33
COST_MOV_00049,MOV_00049,R_962,50,2024052104,10210.85,27.4,0.0022,11222.76
COST_MOV_00050,MOV_00050,R_787,1,2024091616,19758.55,16.1,0.0047,13191.9
COST_MOV_00051,MOV_00051,R_494,96,2024101301,55780.82,31.93,0.0046,15352.06
COST_MOV_00052,MOV_00052,R_232,63,2024070507,48077.1,40.98,0.0042,7750.17
COST_MOV_00053,MOV_00053,R_276,17,2024042216,40382.18,40.95,0.0009,10431.28
COST_MOV_00054,MOV_00054,R_456,83,2024011912,50461.93,26.12,0.002,8640.85
COST_MOV_00055,MOV_00055,R_537,59,2024081111,58125.73,43.03,0.0014,5802.94
COST_MOV_00056,MOV_00056,R_595,11,2024101418,34413.54,30.38,0.0024,12924.38
COST_MOV_00057,MOV_00057,R_542,9,2024060201,19459.01,29.02,0.0015,9842.68
COST_MOV_00058,MOV_00058,R_972,80,2024051602,31791.38,31.3,0.0029,18638.38
COST_MOV_00059,MOV_00059,R_473,90,2024052819,19333.11,21.65,0.0025,12560.91
COST_MOV_00060,MOV_00060,R_651,40,2024031904,44292.07,16.25,0.0016,10455.1
COST_MOV_00061,MOV_00061,R_822,92,2024091305,13057.64,36.92,0.004,18881.18
COST_MOV_00062,MOV_00062,R_433,77,2024072421,12466.44,33.54,0.0003,8098.08
COST_MOV_00063,MOV_00063,R_478,85,2024122916,45331.19,41.08,0.0038,13866.02
COST_MOV_00064,MOV_00064,R_492,56,2024113015,34411.43,39.03,0.0037,9515.21
COST_MOV_00065,MOV_00065,R_797,94,2024102407,57945.9,20.06,0.0031,19801.5
COST_MOV_00066,MOV_00066,R_461,56,2024112601,57007.08,34.93,0.0029,12796.67
COST_MOV_00067,MOV_00067,R_169,58,2024022903,30511.95,19.9,0.0038,16198.61
COST_MOV_00068,MOV_00068,R_842,42,2024012014,57880.99,35.74,0.0018,12002.29
COST_MOV_00069,MOV_00069,R_765,2,2024070714,15550.86,43.22,0.0016,15717.33
COST_MOV_00070,MOV_00070,R_207,61,2024061301,16282.29,30.12,0.0038,12139.55
COST_MOV_00071,MOV_00071,R_683,89,2024053106,16017.25,28.51,0.0013,17341.29
COST_MOV_00072,MOV_00072,R_147,96,2024082216,41485.94,42.14,0.0007,15071.55
COST_MOV_00073,MOV_00073,R_675,93,2024060609,59278.13,30.85,0.0009,8281.82
