time_key,port_key,condition_id,wind_speed_bft,wave_height,visibility_km,port_status
2024010100,1,1,3,3.65,4.56,0
2024010100,2,2,8,1.68,3.26,1
2024010100,3,3,7,3.01,12.88,0
2024010100,4,4,5,1.49,1.09,0
2024010100,5,5,10,2.0,4.74,1
2024010100,6,6,3,2.46,9.48,0
2024010101,1,7,5,3.45,14.8,0
2024010101,2,8,3,3.76,5.17,0
2024010101,3,9,10,2.05,3.95,1
2024010101,4,10,5,1.13,2.06,0
2024010101,5,11,1,0.78,4.98,0
2024010101,6,12,6,1.6,12.58,0
2024010102,1,13,10,3.63,2.83,1
2024010102,2,14,4,1.31,3.08,0
2024010102,3,15,4,0.31,3.0,0
2024010102,4,16,8,2.58,2.63,1
2024010102,5,17,2,0.25,7.34,0
2024010102,6,18,4,3.99,12.59,0
2024010103,1,19,2,3.08,7.43,0
2024010103,2,20,1,1.23,8.62,0
2024010103,3,21,10,2.16,9.01,1
2024010103,4,22,3,3.35,6.4,0
2024010103,5,23,8,4.13,5.75,1
2024010103,6,24,6,3.95,9.86,0
2024010104,1,25,7,0.41,5.9,0
2024010104,2,26,2,0.46,2.64,0
2024010104,3,27,6,2.73,13.08,0
2024010104,4,28,8,2.28,9.21,1
2024010104,5,29,8,1.39,12.6,1
2024010104,6,30,4,4.4,7.68,0
2024010105,1,31,6,3.38,10.01,0
2024010105,2,32,5,3.12,13.87,0
2024010105,3,33,9,0.9,11.48,1
2024010105,4,34,8,1.35,5.91,1
2024010105,5,35,2,2.76,5.6,0
2024010105,6,36,7,3.6,4.81,0
2024010106,1,37,7,4.2,7.66,0
2024010106,2,38,11,3.17,13.88,1
2024010106,3,39,1,1.94,1.25,0
2024010106,4,40,1,3.14,11.65,0
2024010106,5,41,4,0.4,5.93,0
2024010106,6,42,5,2.74,12.34,0
2024010107,1,43,4,4.04,7.07,0
2024010107,2,44,7,2.9,11.11,0
2024010107,3,45,3,0.13,12.73,0
2024010107,4,46,7,3.16,7.58,0
2024010107,5,47,8,3.3,11.25,1
2024010107,6,48,6,2.48,1.96,0
2024010108,1,49,6,3.69,5.17,0
2024010108,2,50,8,0.99,5.51,1
2024010108,3,51,8,1.9,7.66,1
2024010108,4,52,7,3.65,10.06,0
2024010108,5,53,6,2.76,7.58,0
2024010108,6,54,6,4.48,12.8,0
2024010109,1,55,10,0.4,4.61,1
2024010109,2,56,11,1.17,2.89,1
2024010109,3,57,6,0.98,6.19,0
2024010109,4,58,8,4.4,4.39,1
2024010109,5,59,1,3.92,9.31,0
2024010109,6,60,5,0.69,8.98,0
2024010110,1,61,3,1.66,11.32,0
2024010110,2,62,8,0.33,12.0,1
2024010110,3,63,11,2.88,2.99,1
2024010110,4,64,6,1.56,5.82,0
2024010110,5,65,2,1.23,2.1,0
2024010110,6,66,7,2.4,10.52,0
2024010111,1,67,7,3.6,12.22,0
2024010111,2,68,5,1.88,14.46,0
2024010111,3,69,8,3.43,14.4,1
2024010111,4,70,5,2.06,9.85,0
2024010111,5,71,1,1.04,11.35,0
2024010111,6,72,9,2.06,3.92,1
2024010112,1,73,4,2.47,9.16,0
2024010112,2,74,2,2.13,5.63,0
2024010112,3,75,4,1.31,2.53,0
2024010112,4,76,9,0.91,7.87,1
2024010112,5,77,2,4.27,6.9,0
